Origin,CRSElapsedTime,AirTime,Distance,Year,IsWeekend,Season,CRSArr_TimeOfDay,CRSDep_TimeOfDay,dest_temperature_2m_mean,dest_wind_speed_10m_max,dest_wind_gusts_10m_max,dest_precipitation_sum,dest_rain_sum,dest_snowfall_sum,dest_precipitation_hours,dest_weather_code,dest_temperature_2m_range,origin_temperature_2m_mean,origin_wind_speed_10m_max,origin_wind_gusts_10m_max,origin_precipitation_sum,origin_rain_sum,origin_snowfall_sum,origin_precipitation_hours,origin_weather_code,origin_temperature_2m_range,airline_name,SinMonth,CosMonth,SinDay,CosDay
MCO,148.0,122.0,861.0,2021,0,Spring,Afternoon,Afternoon,-2.4,7.8,34.9,0.0,0.0,0.0,0.0,0,12.0,22.5,20.2,41.4,0.0,0.0,0.0,0.0,3,9.0,American Airlines Inc.,0.8660254037844387,-0.49999999999999983,0.20129852008866006,0.9795299412524945
ATL,125.0,93.0,666.0,2020,0,Winter,Afternoon,Afternoon,-16.6,8.0,43.6,0.0,0.0,0.0,0.0,3,12.099999999999998,-0.6,25.4,44.6,0.0,0.0,0.0,0.0,2,9.0,American Airlines Inc.,0.49999999999999994,0.8660254037844387,0.0,1.0
LAX,305.0,286.0,2402.0,2021,0,Fall,Morning,Night,-10.1,7.1,23.0,0.0,0.0,0.07,0.0,71,11.600000000000001,17.9,14.8,23.4,0.0,0.0,0.0,0.0,0,11.0,Spirit Air Lines,-0.8660254037844386,0.5000000000000001,0.5712682150947923,0.8207634412072763
CLT,100.0,67.0,449.0,2021,0,Spring,Night,Night,-2.3,11.2,64.8,0.7,0.0,0.49,4.0,73,12.0,14.5,10.7,19.1,0.0,0.0,0.0,0.0,3,13.3,American Airlines Inc.,0.49999999999999994,-0.8660254037844387,0.72479278722912,0.6889669190756866
MCI,159.0,132.0,1038.0,2022,0,Summer,Morning,Morning,9.8,9.8,35.3,0.1,0.1,0.0,1.0,51,11.5,24.1,9.9,19.8,0.0,0.0,0.0,0.0,1,13.399999999999999,American Airlines Inc.,-0.8660254037844384,-0.5000000000000004,0.5712682150947923,0.8207634412072763
SFO,326.0,300.0,2521.0,2023,0,Fall,Evening,Morning,-8.5,11.7,41.4,0.0,0.0,0.0,0.0,3,15.1,12.6,20.9,40.3,0.0,0.0,0.0,0.0,3,7.999999999999998,United Air Lines Inc.,-0.5000000000000004,0.8660254037844384,0.0,1.0
BOS,99.0,63.0,280.0,2022,0,Fall,Afternoon,Afternoon,3.1,8.6,35.3,0.0,0.0,0.0,0.0,3,8.8,21.5,14.7,25.9,13.0,13.0,0.0,16.0,61,5.5,American Airlines Inc.,-1.0,-1.8369701987210297e-16,0.0,1.0
PIT,89.0,44.0,268.0,2021,1,Winter,Morning,Morning,-14.7,8.5,22.3,0.0,0.0,0.0,0.0,3,11.5,3.4,16.6,34.2,0.0,0.0,0.0,0.0,3,12.1,Republic Airline,-2.4492935982947064e-16,1.0,0.9377521321470804,0.3473052528448203
DFW,190.0,162.0,1303.0,2022,1,Fall,Morning,Morning,2.2,7.4,29.2,2.6,2.6,0.0,9.0,53,9.8,26.7,11.0,24.5,2.8,2.8,0.0,5.0,61,9.2,American Airlines Inc.,-1.0,-1.8369701987210297e-16,0.8486442574947509,0.5289640103269624
ATL,133.0,111.0,666.0,2020,0,Fall,Evening,Evening,-8.7,8.6,39.2,0.0,0.0,0.0,0.0,3,10.3,20.7,16.7,31.7,0.4,0.4,0.0,3.0,51,8.899999999999999,Republic Airline,-0.8660254037844386,0.5000000000000001,0.5712682150947923,0.8207634412072763
MCO,157.0,132.0,861.0,2021,0,Summer,Evening,Evening,4.7,10.6,61.2,0.2,0.2,0.0,1.0,51,11.1,28.5,15.8,37.1,1.7,1.7,0.0,6.0,53,9.199999999999996,Frontier Airlines Inc.,1.2246467991473532e-16,-1.0,0.72479278722912,0.6889669190756866
DEN,205.0,163.0,1558.0,2022,0,Spring,Afternoon,Morning,-7.4,8.7,54.7,0.4,0.0,0.28,2.0,73,10.100000000000001,-6.4,19.5,31.7,1.0,0.0,0.7,9.0,71,8.6,Southwest Airlines Co.,1.0,6.123233995736766e-17,0.39435585511331855,0.9189578116202306
AUS,214.0,211.0,1430.0,2025,1,Summer,Evening,Afternoon,7.8,9.8,29.5,1.8,1.8,0.0,3.0,61,11.600000000000001,28.4,18.4,41.0,8.3,8.3,0.0,8.0,63,10.300000000000004,American Airlines Inc.,1.2246467991473532e-16,-1.0,0.9377521321470804,0.3473052528448203
ORD,125.0,90.0,678.0,2020,0,Spring,Morning,Morning,-2.1,8.3,39.2,0.0,0.0,0.0,0.0,3,16.1,3.7,22.5,47.2,0.0,0.0,0.0,0.0,3,10.1,American Airlines Inc.,0.8660254037844387,-0.49999999999999983,0.72479278722912,0.6889669190756866
SJU,246.0,216.0,1576.0,2023,1,Spring,Night,Night,-9.6,9.2,59.8,0.0,0.0,0.0,0.0,3,10.3,24.3,13.4,34.9,0.0,0.0,0.0,0.0,3,7.599999999999998,Frontier Airlines Inc.,1.0,6.123233995736766e-17,0.9377521321470804,0.3473052528448203
BOS,96.0,57.0,280.0,2022,0,Summer,Night,Evening,8.8,9.0,34.6,2.8,2.8,0.0,7.0,61,9.0,21.6,18.1,36.0,1.9,1.9,0.0,7.0,53,6.399999999999999,JetBlue Airways,-0.8660254037844384,-0.5000000000000004,0.39435585511331855,0.9189578116202306
TPA,154.0,123.0,920.0,2024,0,Winter,Afternoon,Morning,-17.5,11.4,27.7,0.0,0.0,0.0,0.0,3,17.0,13.8,8.6,22.7,0.0,0.0,0.0,0.0,3,12.299999999999999,American Airlines Inc.,-2.4492935982947064e-16,1.0,0.5712682150947923,0.8207634412072763
CVG,98.0,73.0,507.0,2022,0,Fall,Afternoon,Morning,-10.8,8.1,44.6,0.0,0.0,0.0,0.0,3,11.399999999999999,6.4,22.7,50.0,0.3,0.3,0.0,2.0,51,5.1,PSA Airlines Inc.,-0.5000000000000004,0.8660254037844384,0.0,1.0
