threshold,precision,recall,f1,n_alerts
0.05,0.1918456935820918,0.9999059723245208,0.3219255491982765,332585
0.1,0.19310378267642087,0.9985739135885663,0.32362508856265665,329978
0.15000000000000002,0.19850742991225898,0.9916785507200953,0.330797982174129,318779
0.2,0.20941135203866534,0.9730140571374841,0.34464785292419736,296493
0.25,0.2258422569551574,0.9406371942141637,0.3642338091842772,265774
0.30000000000000004,0.2473877838637022,0.8967889548823871,0.3877978368707815,231317
0.35000000000000003,0.27254420804978624,0.8441647991725565,0.4120540358607184,197645
0.4,0.2997767428461686,0.7827803983639184,0.43352789289821425,166624
0.45,0.3293866459627329,0.7180423437965241,0.4516078160806249,139104
0.5,0.36238841534458743,0.6482738085909953,0.4648970004832492,114151
0.55,0.39936952561711225,0.573772547053016,0.4709430952870961,91677
0.6000000000000001,0.44166154190193996,0.49521242419018663,0.46690652265457044,71548
0.65,0.4883556810162315,0.4120919590666186,0.44699422898765057,53846
0.7000000000000001,0.5417259671367577,0.32807823102599865,0.408663231045522,38645
0.75,0.6045108127974003,0.244879409506198,0.3485612313183136,25849
0.8,0.6789914874260836,0.16374919684693862,0.26386363636363636,15389
0.8500000000000001,0.7716081718177056,0.09233517732052468,0.16493344717062997,7636
0.9,0.8736842105263158,0.04032220150130855,0.07708670381688537,2945
0.9500000000000001,0.9721900347624566,0.013148203287834385,0.025945511333766273,863
